   1.0000000e+00   7.0000000e-02   3.5500000e+00
   2.0000000e+00   3.0000000e-02   2.4200000e+00
   3.0000000e+00   6.6000000e-02   3.5000000e+00
   4.0000000e+00   1.7000000e-01   3.1200000e+00
   5.0000000e+00   0.0000000e+00   0.0000000e+00
   6.0000000e+00   1.4000000e-01   2.9000000e+00
   7.0000000e+00   1.7000000e-01   3.0700000e+00
   8.0000000e+00   1.0500000e-01   3.7500000e+00
   9.0000000e+00   2.1000000e-01   2.9600000e+00
   1.0000000e+01   1.7000000e-01   3.0000000e+00
   1.1000000e+01   7.0000000e-02   3.5500000e+00
   1.2000000e+01   1.0500000e-01   3.7500000e+00
   1.3000000e+01   2.1000000e-01   2.9600000e+00
