   1.0000000e+00   3.5000000e+01   1.1300000e+02
   2.0000000e+00   3.5000000e+01   1.2000000e+02
   3.0000000e+00   4.0000000e+01   1.0950000e+02
   4.0000000e+00   5.0000000e+01   1.0950000e+02
   5.0000000e+00   5.5000000e+01   1.0850000e+02
   6.0000000e+00   5.8350000e+01   1.1270000e+02
   7.0000000e+00   6.3000000e+01   1.1400000e+02
   8.0000000e+00   6.3000000e+01   1.2000000e+02
   9.0000000e+00   7.0000000e+01   1.2000000e+02
   1.0000000e+01   7.0000000e+01   1.2300000e+02
   1.1000000e+01   7.0000000e+01   1.3000000e+02
   1.2000000e+01   7.0000000e+01   1.2400000e+02
   1.3000000e+01   3.5000000e+01   1.1700000e+02
